,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
8309,missing persons,walking in l.a.,1982,pop,look ahead pass focus fool cheap cinema trick cardboard cast record stand walkin walk know lame jogger maybe freeway strangler baby shop cart pusher maybe groovy thing sure star movies cause walkin walkin walkin walkin walkin beat drivin cars street walkin home school mother pick pool smog play trick eye roller skater kind headphone disguise maybe somebody make pump best,60,0.035326185,0.001422475,0.001422475,0.001422475,0.001422475,0.001422475,0.001422475,0.276402447,0.355069082,0.001422475,0.209708265,0.046149974,0.02976174,0.001422475,0.001422475,0.030512606,0.702155312,0.637233033,0.136545318,2.52E-05,0.965993405,0.773766708,obscene,0.542857143
8310,the vandals,anarchy burger (hold the government),1982,pop,anarchy kill shoot raise army rabid rat beat neighbor anarchy burger hold government anarchy burger hold government anarchy shit know sick write congressman tell suck buck anarchy burger hold government anarchy burger hold government potential anarchy burgers want free order anarchy burger hold government anarchy burger hold government america stand freedom think free walk deli urinate cheese anarchy burger hold government anarchy burger hold government school naked,67,0.002024292,0.221615612,0.002024292,0.002024292,0.002024292,0.002024292,0.31991405,0.118872431,0.147453741,0.002024292,0.002024292,0.002024292,0.129050611,0.002024292,0.002024292,0.002024291,0.343658616,0.656462323,0.000473896,0,0.175597692,0.938937032,romantic,0.542857143
8312,joe jackson,breaking us in two,1982,pop,feel like try feel like break break things wanna things break live feel like break say hurt break hearts beat fight nice advice hard closer try stay home stare eye maybe hour maybe right break break,36,0.001461988,0.001461988,0.040623965,0.07894019,0.001461988,0.001461988,0.001461988,0.188621672,0.001461988,0.033301384,0.001461988,0.001461988,0.001461988,0.142383482,0.465819009,0.001461988,0.617675728,0.437812476,0.329316596,0,0.507419621,0.258235092,sadness,0.542857143
8315,orange juice,falling and laughing,1982,pop,think naive take true want avoid contact cost fine teeth smile say build city tear say consequently dream satisfy real need heart resist thousand like maybe true fell stand lonesome learn laugh say build city tear say consequently dream satisfy real need heart resist say build city tear say fall fall fall cause want pleasure pain fall fall fall laugh cause want pleasure pain fall fall fall laugh fall laugh fall laugh,72,0.000848896,0.000848896,0.000848896,0.000848896,0.055809014,0.000848896,0.000848896,0.10369945,0.000848896,0.01865411,0.206145667,0.000848896,0.000848896,0.000848897,0.5295157,0.024032229,0.340409401,0.735610081,0.00378414,0.000234818,0.6784831,0.791785289,sadness,0.542857143
8316,kansas,play the game tonight,1982,pop,think happen bigger life hear remember morning light come songs play till play play game tonight tell wrong right time white spotlight play game tonight curtain open roar crowd feel finally happen come true songs play till,37,0.001547988,0.001547988,0.090084665,0.180577689,0.001547988,0.001547988,0.001547988,0.188370533,0.070721429,0.324470924,0.001547988,0.102307982,0.001547988,0.001547988,0.001547988,0.024890927,0.627423373,0.69094685,0.202810445,1.64E-06,0.231244847,0.631620127,music,0.542857143
8318,talk talk,talk talk,1982,pop,wait wait miracles miracles bleed bleed thoughts thoughts prayers prayers adorable crisis like cake crisis crisis bleed bleed deliberate body accumulate talk like walkin like talk like talk like talk talk talk talk fuck problem solution problem solution problem solution problem problem problem problem work talk work work dead dead dead dead talk like walkin like talk like walkin like brave rain lift stone extend hand walkin talk fuck,69,0.001119821,0.311390014,0.001119821,0.02757962,0.001119821,0.001119821,0.001119821,0.001119821,0.480801635,0.001119821,0.001119821,0.001119821,0.001119821,0.141959297,0.001119821,0.001119821,0.593848153,0.71479117,9.01E-05,0.063765182,0.828936521,0.835830709,obscene,0.542857143
8322,laurie anderson,o superman,1982,pop,superman judge superman judge home right want leave message start talk sound tone hello mother come home hello anybody home know know message come plan better ready ready come say voice say hand hand take hand hand take hand hand take hand hand take hand hand take come plan american plan america smoke nonsmoking voice say snow rain gloom night shall stay couriers swift completion appoint round cause go justice justice go force force go hold long arm hold long arm automatic arm electronic arm arm hold long arm petrochemical arm military arm electronic arm,95,0.000711238,0.000711238,0.000711238,0.10653504,0.000711238,0.000711238,0.318232854,0.1025675,0.000711238,0.156054086,0.2071696,0.000711238,0.075133678,0.000711238,0.000711238,0.000711238,0.799631756,0.383406405,0.966867437,0.20951417,0.294105523,0.023993542,romantic,0.542857143
8323,cheap trick,if you want my love,1982,pop,want need hide throw away want need hide throw away think mystery girl special girl crazy world couldn lay eye cause lonely place know like fight hole heart heart want need hide throw away hold secrets world hypnotize word special face special voice special smile life cause lonely place know like fight hole heart heart want need hide throw away want need hide throw away want need hide throw away,70,0.000773994,0.110391612,0.027138495,0.000773994,0.083750777,0.000773994,0.000773994,0.000773994,0.000773994,0.000773994,0.000773994,0.000773994,0.000773994,0.182038905,0.486866367,0.000773994,0.468211849,0.670409968,0.02138456,0,0.4641385,0.683673804,sadness,0.542857143
8325,huey lewis & the news,workin for a livin,1982,pop,somedays somedays pass work forever dam dam suppose raise week know damn workin livin workin workin livin workin workin livin livin aworkin take give cause work livin complain cause need work hit feel like jerk dollar note rent check friday spend workin livin workin workin livin workin workin livin livin aworkin take give cause work livin whoa workin livin whoa take give whoa workin livin whoa whoa bartender ladies night grease monkey exjunky winner fight walk streets sell souls roll workin livin workin workin livin workin workin livin livin aworkin take give cause work livin workin livin livin aworkin take give cause work livin workin livin livin aworkin,108,0.00075188,0.00075188,0.091272108,0.00075188,0.088292989,0.065528574,0.00075188,0.00075188,0.67576423,0.00075188,0.068615782,0.00075188,0.00075188,0.00075188,0.00075188,0.00075188,0.546193003,0.622182909,0.362449159,1.58E-06,0.978359439,0.757750192,obscene,0.542857143
8331,john waite,change,1982,pop,people talk say leave unhappy live ohohoh wish money wish fame think answer things gonna change change matter heart change look mirror take surrender heart breakin ohohoh wish money wish fame think answer things gonna change change matter heart change remember break look like mistake ohohoh wish money wish fame think answer things gonna change change matter heart change change change matter heart change matter change heart stay matter heart change matter gonna gonna change heart,76,0.000773994,0.000773994,0.412162459,0.000773994,0.000773994,0.000773994,0.000773994,0.157123621,0.062956431,0.000773994,0.000773994,0.000773994,0.000773994,0.000773994,0.278509831,0.000773994,0.369652334,0.616414122,0.246987196,0,0.616652927,0.848844128,world/life,0.542857143
8337,roxy music,more than this,1982,pop,feel time know fall leave night blow free wind hopefully learn tide turn lyric commercial,15,0.003759399,0.003759399,0.003759399,0.123079495,0.003759399,0.003759399,0.003759399,0.003759399,0.003759399,0.003759399,0.003759399,0.272819615,0.075194514,0.003759399,0.301423176,0.003759399,0.63933716,0.714021998,0.051003063,0.047165992,0.764014839,0.666656256,sadness,0.542857143
8338,inxs,don't change,1982,pop,stand grind fall evil direction resolution happiness things dark long change change thing change change thing lose go long hear evil directions execution bitterness message receive loud clear change change thing change change thing stand grind fall evil directions resolution happiness things dark long change change thing change change thing change change thing change change,55,0.001096491,0.278117241,0.538860443,0.001096491,0.001096491,0.001096491,0.001096491,0.165478455,0.001096491,0.001096491,0.001096491,0.001096491,0.001096491,0.001096491,0.001096491,0.001096491,0.232102242,0.769992052,0.000252008,0.467611336,0.144682605,0.883880257,world/life,0.542857143
8340,huey lewis & the news,do you believe in love,1982,pop,walk street look meet woman look hop hop feel right wonder wonder stay night come want lonely baby tell want believe believe true believe make believe feel begin grow mean know believe hand heart come wonder wonder true begin go let woman want lonely baby tell want believe believe believe true believe true believe make believe photograph change gonna believe believe believe true believe make believe girl believe believe true believe believe,72,0.053868252,0.000730994,0.493693743,0.000730994,0.000730994,0.000730994,0.103118816,0.106933625,0.000730994,0.000730994,0.000730994,0.000730994,0.000730994,0.075728909,0.059578744,0.027734029,0.525614643,0.633515371,0.05843279,0,0.816570486,0.636625288,world/life,0.542857143
8343,modern english,"i melt with you (7"" mix)",1982,pop,move forward breath make second best world crash face know mesh lace stop world melt see difference get better time stop world melt know better dream better live kind hat trap state imaginary know better pilgrimage save humans race lyric commercial,41,0.001697793,0.113896825,0.407104182,0.001697793,0.001697793,0.001697793,0.001697793,0.264020797,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.438968916,0.601338359,0.000388555,8.57E-05,0.580585326,0.641630449,world/life,0.542857143
8345,don henley,dirty laundry,1982,pop,live even news people lose dirty laundry actor wind look good clear come whisper dirty laundry kick kick kick kick kick kick kick kick bubbleheaded bleachblonde come tell plane crash gleam interest people dirty laundry lyric commercial,37,0.001814882,0.281269016,0.001814882,0.001814882,0.001814882,0.001814882,0.001814882,0.001814882,0.396490927,0.001814882,0.001814882,0.130033233,0.05563367,0.001814882,0.001814882,0.034502994,0.756308892,0.743994052,0.092468968,0.002874494,0.96084089,0.779772902,obscene,0.542857143
8352,the pointer sisters,jump (for my love),1982,pop,eye tell want feel heart beat know like hold need wrap excite feel get hotter baby go want want jump jump feel touch jump want taste kiss night jump jump jump know heart jump know arm feel jump want taste kiss night lyric commercial,44,0.029028999,0.00122399,0.00122399,0.00122399,0.00122399,0.00122399,0.333193315,0.081126518,0.00122399,0.00122399,0.00122399,0.00122399,0.00122399,0.00122399,0.00122399,0.130251041,0.845120762,0.560495347,0.161645745,0.000102227,0.919620775,0.697688256,romantic,0.542857143
8354,the pointer sisters,neutron dance,1982,pop,wanna anymore stay lock door time stop away cause work hard whooooh whooooh money fall cause take heart rob blind steal brand chevrolet rent place stay whooooh whooooh hard things change hard strength draw line burnin doin neutron dance burnin doin neutron dance industry fair common people breathe filthy lord roof cave simple dream ahead heart start pump scheme hard things change hard strength draw line burnin doin neutron dance burnin doin neutron dance whooooh whooooh yeah yeah hard things change hard strength draw line burnin doin neutron dance burnin doin neutron dance know gold believe doin neutron dance burnin doin neutron dance doin neutron dance hand burnin doin neutron dance feet whooooh whooooh doin neutron dance doin neutron dance whooooh whooooh whooooh whooooh burnin hand feet burnin help burnin burnin burnin burnin,133,0.000634115,0.000634115,0.127240704,0.048166808,0.025905549,0.086970827,0.000634115,0.000634115,0.310341936,0.000634115,0.000634115,0.248730077,0.000634115,0.000634115,0.126330201,0.000634115,0.70757067,0.579468246,0.031324329,1.69E-05,0.924773289,0.68167174,obscene,0.542857143
8355,the motels,only the lonely,1982,pop,walk loneliest mile smile style kiss altogether wrong intention lie drink live think like tell lonely play hold hold know feel lonely mention time long remember know make feel good like tell lonely play lonely lonely play lonely lonely play like tell lonely play lonely lonely play,47,0.00122399,0.00122399,0.035831478,0.00122399,0.00122399,0.00122399,0.073981223,0.176685129,0.00122399,0.16460947,0.030831999,0.00122399,0.00122399,0.122704166,0.325915835,0.055976807,0.636087945,0.48780863,0.050501055,0.001720648,0.705276175,0.313291867,sadness,0.542857143
8360,orange juice,rip it up,1982,pop,stir stand sultry rain hold hold start start start dumb numb heart reach arm stick like glue side hold hold choke swallow pride start start start dumb numb time feel oblige start profess things life express know act dumbdumb know scene humdrum favorite song entitle boredom start say start say start,51,0.001547988,0.001547988,0.042523721,0.001547988,0.001547988,0.001547988,0.15687961,0.184759502,0.120552974,0.066278722,0.001547988,0.001547988,0.001547988,0.001547988,0.408881631,0.001547988,0.887360555,0.674307105,0.053412704,0.00015081,0.85366859,0.546532384,sadness,0.542857143
8362,patty smyth,the warrior,1982,pop,runaway heart betray feed hungry eye civilize primitive wild gift wanna break captivity follow stereo jungle child kill heart wild shoot wall heartache bang bang warrior warrior heart heart survive warrior warrior talk talk talk eye touch physically stay night passion take bite game feel beat hold close victory wanna tame animal style cage wild shoot wall heartache bang bang warrior warrior heart heart survive warrior warrior warrior shoot wall heartache bang bang warrior heart heart survive warrior warrior,79,0.001196172,0.310372323,0.001196172,0.001196172,0.001196172,0.001196172,0.053984752,0.001196172,0.055134827,0.001196172,0.123914004,0.001196172,0.047509615,0.001196172,0.345866494,0.001196172,0.590598939,0.786606159,0.07489867,0,0.80008244,0.900897806,sadness,0.542857143
8364,modern english,i melt with you,1982,pop,move forward breath make second best world crash face know mesh lace stop world melt see difference get better time stop world melt know better dream better live kind hate drop state imaginary know better pilgrimage save human race comprehend race long long lose stop world melt stop world see difference get better time stop world stop world stop world melt future open wide stop world stop world melt stop world see change get better time stop world stop world stop world melt future open wide stop world melt stop world see difference get better time stop world stop world stop world melt stop world stop world melt stop world stop world melt stop world stop world melt,118,0.000531632,0.045946052,0.586597198,0.000531632,0.000531632,0.000531632,0.000531632,0.086647521,0.000531632,0.000531632,0.000531632,0.000531632,0.000531632,0.000531632,0.000531632,0.000531632,0.519116214,0.613081045,0.000977913,0.00159919,0.642415499,0.810804902,world/life,0.542857143
8366,descendents,suburban home,1982,pop,want stereotype want classify want stereotype want classify want clone want suburban home suburban home suburban home suburban home want masochistic want statistic want clone want suburban home suburban home suburban home suburban home want hippie want house like want stereotype want classify want clone want suburban home suburban home suburban home suburban home want stereotype want classify,58,0.001594896,0.001594896,0.001594896,0.001594896,0.001594896,0.001594896,0.001594896,0.001594896,0.001594896,0.377352301,0.03214423,0.001594896,0.001594896,0.019530583,0.001594896,0.001594896,0.35340626,0.673384099,5.38E-05,0,0.826875515,0.771764644,music,0.542857143
8369,culture club,do you really want to hurt me,1982,pop,time realise crime steal dance inside eye real want hurt want precious kiss word burn lovers heart burn choose colour precious people tell step step want hurt lyric commercial,29,0.002105263,0.002105263,0.002105263,0.002105264,0.002105263,0.002105263,0.075070753,0.002105263,0.002105263,0.002105263,0.002105263,0.138797689,0.048877878,0.002105263,0.356975762,0.042780658,0.738979747,0.529728482,0.081826387,0,0.408491344,0.376356899,sadness,0.542857143
8372,the pointer sisters,automatic,1982,pop,look utterly whim defenses camera look xray vision systems aground manage push lips stream absurdities word intend speak wind lock circuitry control totally automatic walk blindfold completely automatic systems automatic automatic automatic automatic madness make motor legs weak stand sadness exhilaration like robot command hand perspire shake like leaf go temperature summon doctor relief tell cure tell control totally automatic walk blindfold completely automatic systems automatic automatic automatic automatic automatic automatic automatic automatic look utterly whim defenses camera look xray vision systems aground manage push lips stream absurdities word intend speak wind lock circuitry control totally automatic walk blindfold completely automatic systems control totally automatic walk blindfold completely automatic systems control totally automatic walk blindfold completely automatic systems automatic automatic automatic automatic,122,0.001385042,0.51607941,0.001385042,0.001385042,0.001385042,0.001385042,0.001385042,0.001385042,0.001385042,0.001385042,0.001385042,0.001385042,0.030737038,0.334342825,0.001385042,0.001385042,0.78230261,0.50080763,0.163653779,0,0.930956307,0.453436384,violence,0.542857143
8375,descendents,tony age,1982,pop,beat fear bass player surfers year years wasn cool spit long hair spit crash fuck mohawk years form waver girlfriend surfer cool fuck anyways dosen matter suck know shit punk bunch fuck drug addict screw hate mean hate time sleep time lay sick fake hardcore fake hardcore spit urinals,49,0.001879699,0.191682126,0.110787768,0.119984507,0.001879699,0.001879699,0.001879699,0.001879699,0.549350109,0.001879699,0.001879699,0.001879699,0.001879699,0.0018797,0.001879699,0.001879699,0.287338893,0.638771377,4.47E-06,0.028947368,0.925803792,0.839834838,obscene,0.542857143
8377,descendents,m-16,1982,pop,shoot shoot shoot gonna live american dream army life right kill save democracy rebel sight money life kill shoot better shoot shoot give thrill like real,26,0.00228833,0.401734107,0.233552573,0.00228833,0.00228833,0.00228833,0.050593444,0.00228833,0.235045396,0.00228833,0.00228833,0.00228833,0.00228833,0.00228833,0.00228833,0.00228833,0.416224412,0.652539548,0.003302212,0,0.69291014,0.847843096,violence,0.542857143
8380,yaz,in my room,1982,pop,father heaven hollow stand watch clock stop room lock inside kingdom come cutout magazines remind room room wall picture small earth heaven photograph take years show picture room know room earth heaven wall white night room electric light earth heaven stand watch clock lead temptation stop doors shut windows lock sound clock room deliver evil wall white night room electric light deliver evil deliver evil deliver evil,67,0.000974659,0.432427273,0.000974659,0.000974659,0.000974659,0.000974659,0.000974659,0.000974659,0.000974659,0.000974659,0.163171468,0.306868836,0.048955789,0.000974659,0.000974659,0.000974659,0.773638037,0.43932518,0.28313181,2.26E-05,0.455894477,0.303281544,violence,0.542857143
8382,oingo boingo,grey matter,1982,pop,stupid young vote swallow shove throat think brain listen train inside head inside head inside head inside head lose ability think tiny little brain slip kitchen sink turn listen decide play inside head inside head inside head inside head grey matter grey matter grey matter grey matter grey matter grey matter grey matter grey matter think like like tell true think better better better stone cold dead head stupid young vote swallow shove throat turn grind bite weenie wasn good bend baby like inside head inside head inside head inside head grey matter grey matter grey matter grey matter grey matter grey matter grey matter grey matter oohgrey matter grey matter grey matter grey matter grey matter grey matter grey matter grey matter grey matter,125,0.012478421,0.414006113,0.000604961,0.000604961,0.000604961,0.012208521,0.000604961,0.502103455,0.000604961,0.000604961,0.000604961,0.000604961,0.024306381,0.000604961,0.000604961,0.012946887,0.673995451,0.631259134,0.028914688,0.091700405,0.856760099,0.888885419,violence,0.542857143
8386,squeeze,black coffee in bed,1982,pop,stain notebook coffee page lose write tell feel tonight stain notebook ring goodbye go beat stain notebook say go friend friend lips passion coffee leave hardly contain hardly contain hurt anger pain pain know single eye eye stain notebook tonight tonight go beat stain notebook say go friend friend lips passion coffee go friend friend lips passion coffee lips passion lips kiss miss stain notebook remain leave memory late nights coffee memory late nights coffee go beat stain notebook say go go friend friend lips passion coffee go black coffee beat black black coffee stain notebook black black black coffee say black coffee go black black coffee beat black black black coffee stain notebook black coffee say black black coffee black black black coffee black coffee black black coffee black black black coffee black coffee black black coffee black black black coffee black coffee black black coffee black black black coffee,151,0.000537057,0.498585711,0.000537057,0.056593758,0.000537057,0.000537057,0.101241558,0.164878221,0.000537057,0.016240654,0.000537057,0.000537057,0.000537057,0.000537057,0.04052374,0.115491675,0.575435936,0.604440684,0.179718052,0,0.752679308,0.459442577,violence,0.542857143
8387,cocteau twins,wax and wane,1982,pop,carrion grow foul devil bite dirty wane devil bite dirty wane devil bite dirty wane devil bite dirty wane devil bite dirty wane lick wound devil bite dirty rattle taste wane devil bite dirty wane devil bite dirty wane devil bite dirty wane devil bite dirty wane children devil bite dirty wan laugh face devil bite dirty wane devil bite dirty wane devil bite dirty wane devil bite dirty wane devil bite dirty wane devil bite dirty wane devil bite dirty wane devil bite dirty wane,86,0.000835422,0.968688824,0.000835422,0.000835422,0.000835422,0.000835422,0.000835422,0.000835422,0.000835422,0.000835422,0.000835422,0.000835422,0.017109004,0.000835422,0.000835422,0.000835422,0.572186722,0.7394303,0.002177713,0.093421053,0.569249794,0.748740902,violence,0.542857143
8394,elvis costello & the attractions,beyond belief,1982,pop,history repeat conceits glib reply defeat finger important issue crocodile tear pocketful tissue oily slick windup world nervous tick fashionable hovel hang die torture bone orchard battle bottle novel palace twoway look glass know sense jealousy sense smile sweetly charge insult flattery body move malice cruel callous identikit completely secrets leave discreetly california fault lock deepest vault like canal mar great barrier reef come belief hand clammy cunning suitably stun know hades laddies whistle socalled gentlemen ladies fight like thistle feel go grief appeal belief feel go grief appeal belief feel go grief appeal belief feel go grief,98,0.00150376,0.341334498,0.001503759,0.001503759,0.001503759,0.001503759,0.001503759,0.00150376,0.001503759,0.001503759,0.156058323,0.001503759,0.00150376,0.254204505,0.00150376,0.225846281,0.221271526,0.677281235,0.05612355,3.52E-05,0.675391591,0.709700643,violence,0.542857143
8396,yaz,too pieces,1982,pop,write letter face hide afraid fall wait come hours mind story remember remember letter tear lock inside heart break open wider shut eye take picture wall,26,0.002024292,0.176214278,0.002024292,0.002024292,0.002024291,0.002024292,0.002024292,0.002024292,0.002024292,0.205169214,0.002024292,0.002024292,0.002024292,0.002024292,0.586227844,0.002024291,0.873280624,0.499269287,0.133533267,0.07388664,0.901071723,0.489473545,sadness,0.542857143
8406,modern english,someone's calling,1982,pop,turn round flight sense breath like knife thousand shadow pain feel fear tension mount mount tide heat rise search face clue thousand hat laughter flame dance people shout streets alive stage mount thousand cry jubilation throes great people nation bridge burn dust useless theme felt night call night start think start choice scar dance judge scar dance judge scar dance judge scar dance judge turn round flight sense breath like knife thousand shadow pain feel fear call night call night call night call night,84,0.000848896,0.352867735,0.000848896,0.000848896,0.000848896,0.000848896,0.000848896,0.000848897,0.000848896,0.000848897,0.000848896,0.482800912,0.062846314,0.000848896,0.088751591,0.000848897,0.466045706,0.639002128,0.001083334,0.33805668,0.583676834,0.858854451,violence,0.542857143
8416,mission of burma,that's how i escaped my certain fate,1982,pop,escape certain fate prove tulsa tulsa stay feel certain guilt hold hold count fall apart yeah fall fall apart escape certain fate escape certain fate innocence novice mistake escape certain fate escape certain fate honesty actor worst mistake escape certain fate,41,0.001949318,0.350110818,0.001949318,0.001949318,0.039014765,0.001949318,0.001949318,0.001949318,0.001949318,0.001949318,0.001949318,0.001949318,0.001949318,0.001949318,0.579685332,0.001949318,0.307917253,0.778837525,3.71E-07,0.325910931,0.657873042,0.864860644,sadness,0.542857143
8417,yaz,goodbye seventies,1982,pop,credit thirty face create headache shape hear tire play fashion light trend set head sunday night tear youth cults dead hear tire fight fashion goodbye seventies credit thirty face create subscription million copy hear tire lose fashion repeat,38,0.002506266,0.488051645,0.002506266,0.002506266,0.002506266,0.002506266,0.054659776,0.002506266,0.002506266,0.216222416,0.092374828,0.113603614,0.002506266,0.002506266,0.002506266,0.002506266,0.709736814,0.46829731,0.058934798,0.071963563,0.887675185,0.62861703,violence,0.542857143
8419,oingo boingo,private life,1982,pop,private life friends fear problems cross come private place neat clean skeletons hide closet private place come private life private life private life private things wall dirty picture religious object private things come private night star light bulb hang ceiling wait dream come humble room night wonder go make scar stare people pass window shade like private life private life private life dangerous like private life know problems aren fault want know private life private life private life come,79,0.001031992,0.185945283,0.53170957,0.001031992,0.001031992,0.001031992,0.001031992,0.001031992,0.001031992,0.001031992,0.001031992,0.245773651,0.001031992,0.001031992,0.001031992,0.001031992,0.466045706,0.623157193,0.020982953,2.43E-05,0.965993405,0.779772902,world/life,0.542857143
8422,adam ant,desperate but not serious,1982,pop,difficult question improper suggestions risk health bookshelf book plant desperate kiss drive delirious kind adore bore mister pressman penknife ask life time desperate kiss drive delirious advice unkind stop blind tell business console kiss lips neck desperate kiss drive delirious desperate kiss drive delirious desperate kiss drive delirious,48,0.002192982,0.002192983,0.072114716,0.002192983,0.002192982,0.002192983,0.31585543,0.146201396,0.002192983,0.002192982,0.41055955,0.002192982,0.002192982,0.002192983,0.002192982,0.002192982,0.567854435,0.806296952,0.020179739,0.157894737,0.794929926,0.913911225,romantic,0.542857143
8424,three dog night,the show must go on,1982,pop,baby choose lonely life strangle wild cigars gigantic cars laugh fool fool fool break rule yeah rule baby enormous crowd people blood wish maybe tear wall theater blind blind blind waste time waste waste waste time waste time walk wire high wire high high wire blind blind blind waste time waste waste time waste time walk wire high wire high high wire baby wish help escape help away leave outside address away masquerade cause blind blind waste time waste waste time walk wire high wire,85,0.044678562,0.124779714,0.016354226,0.308235092,0.015175,0.00074129,0.00074129,0.00074129,0.00074129,0.00074129,0.025838859,0.136365089,0.023072631,0.00074129,0.298087929,0.00074129,0.574352865,0.621157347,0.12550113,0.001680162,0.779472383,0.647636643,night/time,0.542857143
8429,social distortion,another state of mind,1982,pop,state state mind wish right road lead lead voice send shiver spine scar flesh bruise bloody know pain talk thousand away tear eye gonna hitch ride wild real hell wheel gonna fight tonight know city city leave bury picture cities burn away scar flesh bruise bloody know pain talk thousand away tear eye gonna,54,0.001169591,0.317534589,0.001169591,0.048927762,0.001169591,0.001169591,0.001169591,0.107455908,0.001169591,0.001169591,0.208929889,0.001169591,0.001169591,0.001169591,0.232237128,0.001169591,0.125961226,0.74132759,0.000272089,0.000422065,0.220939819,0.983983484,violence,0.542857143
8430,simon & garfunkel,slip slidin' away,1982,pop,slip slide away slip slide away know nearer destination slip slide away whoah know come hometown wear passion woman like crown say live fear overpower afraid disappear slip slide away slip slide away know nearer destination slip slide away know woman wife word use life say good rain say think things slip slide away slip slide away know nearer destination slip slide away know father long tell reason things come long explain kiss sleep turn head home slip slide away slip slide away know nearer destination slip slide away whoah know make plan information unavailable mortal workin job collect believe glide highway fact slip slide away slip slide away slip slide away know nearer destination slip slide away slip slide away slip slide away know nearer destination slip slide away,130,0.000611995,0.000611995,0.056268658,0.000611995,0.000611995,0.000611995,0.0413598,0.223109092,0.000611995,0.000611995,0.086149054,0.000611995,0.012833555,0.000611995,0.572323904,0.000611995,0.474710278,0.462297772,0.772088125,1.71E-05,0.211665293,0.304282576,sadness,0.542857143
8433,descendents,i'm not a punk,1982,pop,punk conformity different playin game square goin square goin walk comin hide care square goin square goin square goin square goin square goin square goin,25,0.003289474,0.003289474,0.003289474,0.003289474,0.003289474,0.483191073,0.003289474,0.003289474,0.318248443,0.003289474,0.003289474,0.003289474,0.003289474,0.003289474,0.145928904,0.003289474,0.234268385,0.689152117,3.12E-05,0,0.618713932,0.952951484,obscene,0.542857143
8434,kenny loggins,don't fight it,1982,pop,live long bind moonshine blind tell brew time wind feelin fine women knack turn leave flat tell playin keep tell hold know heart fight fight fight heart good fight fight fight heart good fight fight fight good people hear groove shake head cause approve turn music till shakin everybody ready time wanna shake nights wanna yell help standin nothin wrong raise hell tonight gonna raise fight fight fight heart good fight fight fight heart good fight fight fight heart mama daddy gonna mind ready come fight fight fight fight fight fight fight fight heart good fight fight fight,98,0.000584795,0.44402481,0.000584795,0.137697396,0.000584795,0.039353804,0.000584795,0.000584795,0.067462324,0.014159888,0.000584795,0.000584795,0.042946617,0.000584795,0.118933535,0.079824267,0.388064551,0.666923057,0.05431632,3.63E-06,0.675391591,0.741733676,violence,0.542857143
8440,glenn frey,partytown,1982,pop,sick sick wife sick future sick life pack tell rybody kiss goin party yeah yeah wanna party yeah yeah wanna wanna fool goin party come go matter party night goin right right party yeah yeah party yeah yeah party yeah yeah know pass burnin like blowtorch prime rybody friend little girl couple shooters teachin rything know party yeah yeah party yeah yeah know ball right party cool yeah meet sure feel good party monster,74,0.000797448,0.000797448,0.034123151,0.023730463,0.252232861,0.029068424,0.016245234,0.052699563,0.474291613,0.000797448,0.000797448,0.000797448,0.000797448,0.025702245,0.000797448,0.041910248,0.705404527,0.71479117,0.078111524,0.012854251,0.978359439,0.700691353,obscene,0.542857143
8443,descendents,jean is dead,1982,pop,early school tell know go mother tell night phone help take buy ring go go tell know go go go go go tell know go,25,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.339662663,0.002024292,0.002024292,0.224885174,0.002024292,0.041196394,0.002024292,0.002024292,0.363891396,0.172533304,0.701587057,0.000380522,0,0.355935697,0.931929806,feelings,0.542857143
8444,social distortion,the creeps,1982,pop,vigilant silent know know want toast grave wanna creep hide streets fear tear taunt sleep wanna creep,17,0.004385965,0.484613846,0.004385965,0.004385965,0.004385965,0.004385965,0.004385965,0.176593621,0.004385965,0.004385965,0.004385965,0.004385965,0.004385965,0.004385965,0.004385967,0.004385965,0.376150764,0.746096454,1.20E-05,0.004190283,0.518755153,0.951950451,violence,0.542857143
8446,abc,all of my heart,1982,pop,time friends give heart story end friends wish help star collide decide wish help like love lose touch like love lose pray maybe someday walk room heart subtract matter fact go want remember surrender remember heart spill pink silk coffee lace hook rendezvous place lipstick gloss seal fate sentimental power help hearts flower tower disappoint lose friend tell crock gold rainbow pleasure pain rain grow pray maybe someday walk room heart subtract matter fact go want remember surrender kindest cruelest heart pray maybe someday walk room heart shrug maybe today come home soon surrender remember surrender heart heart,98,0.000720981,0.000720981,0.206312073,0.000720981,0.000720981,0.08311169,0.048229736,0.196849001,0.000720981,0.000720981,0.000720981,0.032200637,0.000720981,0.000720981,0.356461329,0.000720981,0.488790209,0.77276107,0.276103691,0.000958502,0.584707337,0.696687224,sadness,0.542857143
